meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-118.7155,0.6917,7.1943,0.0548,2708.4477,0.6415,541,8,5,0.0,1
-113.7764,0.246,9.4367,0.5935,2535.721,0.8324,514,8,5,0.0,1
-115.1838,0.0,10.3841,0.0,2481.7165,1.0,1476,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-114.2941,1.5362,-10.8676,2.8778,-516.2533,0.75,0,8,5,83000.0,1
-113.9232,0.0,6.7363,0.0,2556.0576,1.0,1635,8,5,0.0,1
-114.9076,1.8774,3.0388,1.162,-678.6825,0.4689,27,8,5,83000.0,1
-119.07,2.0901,9.4971,1.3581,2770.5468,0.8214,345,8,5,83000.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-115.3229,0.7208,-6.013,12.8389,-512.4535,0.99,0,8,5,83000.0,1
-116.655,0.6008,6.8862,0.7299,-557.6315,0.4861,7,8,5,83000.0,1
-117.6495,1.8393,5.7339,0.1323,2525.4419,0.1426,981,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-115.2,0.8725,6.0298,0.1429,2497.7138,0.3422,902,8,5,0.0,1
-118.1306,0.0,8.0299,0.0,2196.3576,1.0,690,8,5,0.0,1
-113.6221,1.3188,-5.252,26.7146,-528.873,0.9375,66,8,5,83000.0,1
-118.6526,1.9566,9.8869,0.5404,-614.3244,0.4279,69,8,5,83000.0,1
-113.0627,1.1622,8.4225,1.2438,-581.5051,0.3917,36,8,5,83000.0,1
-113.8901,2.4697,7.673,0.9053,-509.9921,0.8186,83,8,5,83000.0,1
-117.0937,1.376,9.9764,0.5472,-609.2509,0.38,34,8,5,83000.0,1
-117.0754,1.8263,8.2864,1.1075,2664.7485,0.5137,393,8,5,0.0,1
-111.2693,0.0,10.3394,0.0,2337.5829,1.0,1008,8,5,0.0,1
-118.8486,1.7295,4.5512,0.4801,-583.6889,0.5049,72,8,5,83000.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-113.795,1.0669,9.2441,1.3631,-610.8173,0.2694,115,8,5,83000.0,1
-115.3553,0.6071,8.814,1.0549,-639.6835,0.6632,108,8,5,83000.0,1
-111.555,1.7905,6.317,0.3722,2558.3143,0.6709,619,8,5,83000.0,1
-116.3121,1.4392,9.203,1.086,-623.2043,0.4497,23,8,5,83000.0,1
-112.4456,0.0,7.9221,0.0,2463.233,1.0,1286,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-113.7428,1.5388,9.1112,0.4563,2619.1749,0.1003,592,8,5,0.0,1
-114.9672,1.0501,3.0886,0.7506,-613.2953,0.4216,119,8,5,83000.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-113.1995,1.0692,7.7067,0.0631,2430.0975,0.8506,1856,8,5,0.0,1
-113.1526,0.3971,-10.6056,16.1841,-529.7692,0.9986,30,8,5,83000.0,1
-117.1329,1.3481,7.4417,1.0265,2752.9532,0.5898,502,8,5,83000.0,1
-114.0187,0.2781,-9.8509,2.1769,-545.8956,0.9375,66,8,5,83000.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-115.3721,1.0026,6.355,0.1292,2551.5892,0.9375,548,8,5,83000.0,1
-113.6165,2.4518,9.4368,0.8152,-518.6142,0.5939,89,8,5,83000.0,1
-111.3029,1.8882,9.2157,0.9813,2685.1796,0.4391,1380,8,5,0.0,1
-115.5604,0.0,7.3845,0.0,2246.0856,1.0,883,8,5,0.0,1
-109.1048,0.0,8.924,0.0,2372.8089,1.0,1163,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-116.8125,0.1814,8.5075,0.6687,2799.3818,0.9467,155,8,5,0.0,1
-115.7572,0.0,9.4501,0.0,2330.0413,1.0,1197,8,5,0.0,1
-999.0,0.0,-999.0,0.0,0.0,1.0,0,8,5,0.0,1
-111.631,0.4063,6.4469,1.1298,2470.8209,0.4505,372,8,5,0.0,1
-110.2415,0.0,7.3799,0.0,2521.109,1.0,1601,8,5,0.0,1
-116.2484,1.1767,5.6549,0.3194,2767.3808,0.3972,1685,8,5,0.0,1
-117.6051,0.9962,8.1401,0.4261,2427.7683,0.7573,724,8,5,83000.0,1
-113.4003,1.5856,6.3144,0.4064,2595.4127,0.8695,1737,8,5,0.0,1
-115.6557,0.2384,-9.1395,7.7033,-540.4528,0.0,0,8,5,83000.0,1
-116.4041,1.6606,5.7799,0.4958,2525.5663,0.8208,1479,8,5,0.0,1
-119.4389,0.1472,8.3314,0.141,2412.5652,0.3809,1057,8,5,0.0,1
